INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,BIOCON,30-Aug-2012,0,XX,241.25,243.5,239.3,242.55,242.55,353,852.29,1577000,18000,31-JUL-2012,
FUTSTK,BIOCON,27-Sep-2012,0,XX,245,245,242.55,242.55,242.55,3,7.31,6000,0,31-JUL-2012,
FUTSTK,BIOCON,25-Oct-2012,0,XX,0,0,0,244.15,246.2,0,0,0,0,31-JUL-2012,
FUTSTK,BOMDYEING,30-Aug-2012,0,XX,500.6,509.7,487.55,506,506,973,2429.57,415000,-1000,31-JUL-2012,
FUTSTK,BOMDYEING,27-Sep-2012,0,XX,503.1,503.1,503.1,503.1,510.3,1,2.51,1000,500,31-JUL-2012,
FUTSTK,BOSCHLTD,30-Aug-2012,0,XX,9000,9030,9000,9030,9009.7,4,45.04,4625,125,31-JUL-2012,
FUTSTK,BOSCHLTD,27-Sep-2012,0,XX,0,0,0,8965.6,9076.45,0,0,0,0,31-JUL-2012,
FUTSTK,BPCL,30-Aug-2012,0,XX,367.85,368,357,366,366,2048,7447.27,2456000,194000,31-JUL-2012,
FUTSTK,BPCL,27-Sep-2012,0,XX,366,367.95,360,366.9,368.7,24,87.57,57000,10000,31-JUL-2012,
FUTSTK,BPCL,25-Oct-2012,0,XX,0,0,0,368.65,371.3,0,0,0,0,31-JUL-2012,
FUTSTK,CAIRN,30-Aug-2012,0,XX,330.9,334.7,325.05,333.65,333.65,3561,11779.41,9148000,16000,31-JUL-2012,
FUTSTK,CAIRN,27-Sep-2012,0,XX,327.5,331,321.75,329.8,329.8,114,372.77,223000,-2000,31-JUL-2012,
FUTSTK,CAIRN,25-Oct-2012,0,XX,325,325,320,320,341.05,5,16.16,10000,0,31-JUL-2012,
FUTSTK,CANBK,30-Aug-2012,0,XX,362,369.2,355,368.25,368.25,2818,5106.73,1914000,22000,31-JUL-2012,
FUTSTK,CANBK,27-Sep-2012,0,XX,358.2,370.4,358.2,369.55,369.55,25,45.4,19000,0,31-JUL-2012,
FUTSTK,CANBK,25-Oct-2012,0,XX,369,369,369,369,374.3,1,1.84,1000,0,31-JUL-2012,
FUTSTK,CENTRALBK,30-Aug-2012,0,XX,73.35,73.35,70.25,72.35,72.35,572,819.48,2220000,40000,31-JUL-2012,
FUTSTK,CENTRALBK,27-Sep-2012,0,XX,71.75,71.75,71.3,71.3,72.9,3,4.29,32000,4000,31-JUL-2012,
FUTSTK,CENTRALBK,25-Oct-2012,0,XX,0,0,0,74.7,73.4,0,0,0,0,31-JUL-2012,
FUTSTK,CENTURYTEX,30-Aug-2012,0,XX,297,297.25,286.6,291.7,291.7,1710,4973.21,4423000,28000,31-JUL-2012,
FUTSTK,CENTURYTEX,27-Sep-2012,0,XX,293,294.4,289.9,294.35,294.35,10,29.21,13000,6000,31-JUL-2012,
FUTSTK,CENTURYTEX,25-Oct-2012,0,XX,0,0,0,295.85,296.6,0,0,0,0,31-JUL-2012,
FUTSTK,CESC,30-Aug-2012,0,XX,287.95,301.3,287.3,299.2,299.2,296,867.35,1148000,-47000,31-JUL-2012,
FUTSTK,CESC,27-Sep-2012,0,XX,290,290,290,290,302.4,1,2.9,1000,1000,31-JUL-2012,
FUTSTK,CESC,25-Oct-2012,0,XX,0,0,0,291.8,304.55,0,0,0,0,31-JUL-2012,
FUTSTK,CHAMBLFERT,30-Aug-2012,0,XX,71.45,71.7,69.25,70.1,70.1,658,1853.22,8140000,140000,31-JUL-2012,
FUTSTK,CHAMBLFERT,27-Sep-2012,0,XX,71.4,71.4,70.2,70.9,72.35,8,22.61,28000,20000,31-JUL-2012,
FUTSTK,CHAMBLFERT,25-Oct-2012,0,XX,0,0,0,72.05,72.9,0,0,0,0,31-JUL-2012,
FUTSTK,CIPLA,30-Aug-2012,0,XX,336.5,342.8,334.15,339.6,339.6,3169,10775.55,4530000,1218000,31-JUL-2012,
FUTSTK,CIPLA,27-Sep-2012,0,XX,339,344.7,339,342.35,342.35,47,160.93,82000,23000,31-JUL-2012,
FUTSTK,CIPLA,25-Oct-2012,0,XX,0,0,0,335.25,346.05,0,0,0,0,31-JUL-2012,
FUTSTK,COALINDIA,30-Aug-2012,0,XX,356.25,362.95,356.25,361.55,361.55,1325,4781.93,3552000,234000,31-JUL-2012,
FUTSTK,COALINDIA,27-Sep-2012,0,XX,362.3,364.5,361.4,363,363,13,47.25,38000,8000,31-JUL-2012,
FUTSTK,COALINDIA,25-Oct-2012,0,XX,366,366,366,366,367.3,1,3.66,1000,1000,31-JUL-2012,
FUTSTK,COLPAL,30-Aug-2012,0,XX,1147,1165.8,1142,1160.7,1160.7,115,332.39,54500,-2500,31-JUL-2012,
FUTSTK,COLPAL,27-Sep-2012,0,XX,0,0,0,1202.1,1175.4,0,0,0,0,31-JUL-2012,
FUTSTK,COLPAL,25-Oct-2012,0,XX,0,0,0,1178.4,1183.75,0,0,0,0,31-JUL-2012,
FUTSTK,COREEDUTEC,30-Aug-2012,0,XX,293.35,294,287.3,291.05,291.05,452,1313.11,9886000,-10000,31-JUL-2012,
FUTSTK,COREEDUTEC,27-Sep-2012,0,XX,0,0,0,292.35,294.2,0,0,8000,0,31-JUL-2012,
FUTSTK,CROMPGREAV,30-Aug-2012,0,XX,117.95,118.45,115.7,117,117,565,1321.91,4510000,90000,31-JUL-2012,
FUTSTK,CROMPGREAV,27-Sep-2012,0,XX,117.5,117.5,117.5,117.5,117.9,1,2.35,4000,2000,31-JUL-2012,
FUTSTK,CROMPGREAV,25-Oct-2012,0,XX,0,0,0,116.5,118.75,0,0,0,0,31-JUL-2012,
FUTSTK,CUMMINSIND,30-Aug-2012,0,XX,429.5,430.5,425.05,429.05,429.05,74,157.95,177500,7000,31-JUL-2012,
FUTSTK,CUMMINSIND,27-Sep-2012,0,XX,0,0,0,448.35,433.75,0,0,0,0,31-JUL-2012,
FUTSTK,DABUR,30-Aug-2012,0,XX,121.15,121.4,119.6,120.5,120.5,252,607.1,1478000,20000,31-JUL-2012,
FUTSTK,DABUR,27-Sep-2012,0,XX,0,0,0,122,121.1,0,0,4000,0,31-JUL-2012,
FUTSTK,DABUR,25-Oct-2012,0,XX,0,0,0,119.75,121.95,0,0,0,0,31-JUL-2012,
FUTSTK,DCB,30-Aug-2012,0,XX,41.45,41.45,39.65,40.35,40.35,626,2022.87,8472000,40000,31-JUL-2012,
FUTSTK,DCB,27-Sep-2012,0,XX,40.7,40.7,40.65,40.65,40.8,3,9.74,136000,8000,31-JUL-2012,
FUTSTK,DELTACORP,30-Aug-2012,0,XX,58.3,59.05,56.6,58.05,58.05,294,680.95,5808000,72000,31-JUL-2012,
FUTSTK,DELTACORP,27-Sep-2012,0,XX,57.3,58.45,57.3,58.45,58.55,5,11.52,36000,16000,31-JUL-2012,
FUTSTK,DENABANK,30-Aug-2012,0,XX,92.5,93.45,89.75,92.9,92.9,2937,10742,7396000,348000,31-JUL-2012,
FUTSTK,DENABANK,27-Sep-2012,0,XX,92.15,93.85,91,93.35,93.35,19,70.04,104000,20000,31-JUL-2012,
